Timestamp,Duracion_s,Disp_Hardware,Guardados_RAM,Procesados_Total,Caras_Detectadas,Proc_Stream,Proc_Vaciado,Tiempo_Vaciado_s,FPS_Camara,FPS_Modelo_Stream
2026-05-06T19:06:00.406327,60,1496,1483,1483,1483,787,696,52.41,24.93,13.12
2026-05-06T19:10:47.765165,60,1496,1488,1488,1488,815,673,49.88,24.93,13.58
2026-05-06T19:16:36.486274,60,1495,1488,1488,1488,798,690,50.94,24.92,13.30
2026-05-06T19:20:09.024889,60,1495,1487,1487,1487,804,683,49.82,24.92,13.40
2026-05-06T19:22:56.323565,60,1495,1482,1482,1482,856,626,46.03,24.92,14.27
2026-05-06T19:26:37.936129,60,1497,1490,1490,1490,807,683,49.77,24.95,13.45
2026-05-06T19:31:14.668387,60,1497,1482,1482,1482,802,680,49.89,24.95,13.37
2026-05-06T19:35:42.224324,60,1497,1492,1492,1492,793,699,51.58,24.95,13.22
2026-05-06T19:40:01.526205,60,1496,1488,1488,1488,837,651,48.27,24.93,13.95
2026-05-06T19:44:45.122905,60,1496,1490,1490,1490,807,683,50.12,24.93,13.45
2026-05-11T19:49:07.559719,60,1496,1485,1485,1485,879,606,40.94,24.93,14.65
2026-05-11T19:52:51.717439,60,1496,1484,1484,1484,891,593,39.81,24.93,14.85
2026-05-11T19:56:58.350428,60,1497,1482,1482,1482,895,587,39.11,24.95,14.92
2026-05-11T20:01:32.271593,60,1497,1485,1485,1485,899,586,39.39,24.95,14.98
2026-05-11T20:04:46.985680,60,1496,1488,1488,1488,892,596,39.53,24.93,14.87
2026-05-11T20:09:07.773219,60,1495,1485,1485,1485,883,602,40.33,24.92,14.72
2026-05-11T20:14:05.232237,60,1496,1486,1486,1486,899,587,39.06,24.93,14.98
2026-05-11T20:17:26.366890,60,1496,1488,1488,1488,894,594,39.76,24.93,14.90
2026-05-11T20:20:38.551869,60,1496,1483,1483,1483,892,591,40.06,24.93,14.87
2026-05-11T20:25:47.294766,60,1497,1487,1487,1487,885,602,40.57,24.95,14.75
2026-05-11T21:11:25.154715,60,1495,1482,1482,1482,877,605,41.16,24.92,14.62
